name,cloneof,description,year,manufacturer
mole,,Mole Attack,1982,"Yachiyo Electronics, Ltd."
thehand,,The Hand,1981,T.I.C.
gotya,thehand,"Got-Ya (12-24-1981, prototype[Q])",1981,Game-A-Tron
mrjong,,Mr. Jong (Japan),1983,Kiwako
crazyblk,mrjong,Crazy Blocks,1983,Kiwako (ECI license)
blkbustr,mrjong,BlockBuster,1983,Kiwako (ECI license)
polyplay,,Poly-Play,1985,VEB Polytechnik Karl-Marx-Stadt
amspdwy,,American Speedway (set 1),1987,"Enerdyne Technologies, Inc."
amspdwya,amspdwy,American Speedway (set 2),1987,"Enerdyne Technologies, Inc."
othldrby,,Othello Derby (Japan),1995,Sunwise
mosaic,,Mosaic,1990,Space
mosaica,mosaic,Mosaic (Fuuki),1990,Space (Fuuki license)
gfire2,,Golden Fire II,1992,Topis Corp
spdbuggy,,Speed Buggy,1986,Tatsumi
sprcros2,,Super Cross 2 (Japan),1986,GM Shoji
mugsmash,,Mug Smashers,1990?,Electronic Devices Italy / 3D Games England
stlforce,,Steel Force,1994,Electronic Devices Italy / Ecogames S.L. Spain
fantland,,Fantasy Land,1987,Electronic Devices Italy
galaxygn,,Galaxy Gunners,1989,Electronic Devices Italy
borntofi,,Born To Fight,1987,International Games
wheelrun,,Wheels Runner,1987,International Games
gcpinbal,,Grand Cross,1994,Excellent System
aquarium,,Aquarium (Japan),1996,Excellent System
policetr,,Police Trainer (Rev 1.3),1996,PandP Marketing
policeto,policetr,Police Trainer (Rev 1.1),1996,PandP Marketing
plctr13b,policetr,Police Trainer (Rev 1.3B),1996,PandP Marketing
sshooter,,Sharpshooter (Rev 1.7),1998,PandP Marketing
pass,,Pass,1992,Oksan
news,,News,1993,Poby / Virus
taxidrvr,,Taxi Driver,1984,Graphic Techno
xyonix,,Xyonix,1989,Philko
findout,,Find Out,1987,Elettronolo
dribling,,Dribbling,1983,Model Racing
driblino,dribling,Dribbling (Olympia),1983,Model Racing (Olympia license)
ace,,Ace,1976,Allied Leisure
clayshoo,,Clay Shoot,1979,Allied Leisure
pirates,,Pirates,1994,NIX
genix,,Genix Family,1994,NIX
fitfight,,Fit of Fighting,199?,bootleg
histryma,,The History of Martial Arts,199?,bootleg
bbprot,,Untitled Fighter 'BB' (prototype),199?,&lt;unknown&gt;
flower,,Flower,1986,Komax
flowerbl,flower,Flower (bootleg),1986,bootleg
diverboy,,Diver Boy,1992,Electronic Devices Italy
beaminv,,Beam Invader,19??,Tekunon Kougyou
mcatadv,,Magical Cat Adventure,1993,Wintechno
mcatadvj,mcatadv,Magical Cat Adventure (Japan),1993,Wintechno
nost,,Nostradamus,1993,Face
nostj,nost,Nostradamus (Japan),1993,Face
nostk,nost,Nostradamus (Korea),1993,Face
4enraya,,4 En Raya,1990,IDSA
